,Allianz,BMW,Daimler,DeutscheBörse,Bayer,DeutscheBank,Continental,Adidas,BASF,Covestro
2021-02-02 14:14:59.908778279,0 days 00:59:59.339976554,0 days 00:59:59.377054476,0 days 00:59:58.725897548,0 days 01:00:02.499230664,0 days 01:00:00.378241510,0 days 00:59:58.995893458,0 days 00:59:57.352395292,0 days 00:59:54.166118635,0 days 01:00:01.097927502,0 days 01:00:00.599265270
%-Time in the Market,0.9991186331844071,0.9991289254165917,0.9989481747722708,0.9999955910902527,0.9994068387638965,0.9990231212753302,0.9985669127337777,0.9976824538054114,0.9996066119693543,0.9994681913892197
VWAP_Score,-6075.03454110358,-4973.460787228439,-5235.900247633932,-245.65000000007066,-10223.11999999905,-1277.5741308572196,-9925.195065851014,-33973.33592644744,-5068.080373976472,-1016.0060340859795
pnl_realized,-6073.739,-4960.928,-5222.858,-245.65,-10223.12,-1271.589,-10021.109,-32861.92,-5068.023,-20959.04
n_trades,486.0,373.0,417.0,70.0,351.0,390.0,183.0,242.0,305.0,286.0
n_take_prof,0,0,0,0,0,0,0,0,0,0
n_stopp_loss,0,0,0,0,0,0,0,0,0,0
dollar_volume_traded,14598507.680000002,9385665.849999998,9665657.449999997,993038.45,10748514.280000007,4077179.081000001,5617376.7,19698139.19999999,8347737.209999995,13036873.44
trading_costs,14598.507680000002,9385.665849999998,9665.657449999997,993.03845,10748.514280000007,4077.179081000001,5617.376700000001,19698.13919999999,8347.737209999996,13036.87344
pnl_unrealized,0.339,-18.962,-40.092,0.0,0.0,-12.719,-59.191,-649.38,-0.037,0.0
2021-02-05 09:14:59.428366554,0 days 01:00:38.314721639,0 days 01:01:25.596914580,0 days 01:01:34.805175378,0 days 01:01:10.333862424,0 days 01:01:26.391731823,0 days 01:02:13.698768428,0 days 01:01:10.190862384,0 days 01:01:32.127336504,0 days 01:02:06.871849347,0 days 01:00:02.385077281
%-Time in the Market,1.0097037696322164,1.0228255065081013,1.0253809796737952,1.018589709861278,1.0230460838984115,1.0361747153788348,1.0185500245425267,1.024637826809788,1.0342801112946793,0.9997325878831359
VWAP_Score,-351.3393057036287,321.2064746773078,-607.322592478652,85.57472750997132,-342.8973655580571,-31.082217310267026,15.484147566864806,-136.820823623004,-322.40391166944653,-107.19184562931332
pnl_realized,41.726,53.151,119.065,26.696,118.943,104.264,61.35,14.4,13.386,0.0
n_trades,44.0,62.0,78.0,12.0,46.0,79.0,26.0,7.0,15.0,3.0
n_take_prof,0,0,0,0,0,0,0,0,0,0
n_stopp_loss,0,0,0,0,0,0,0,0,0,0
dollar_volume_traded,209425.98000000004,235434.45999999985,485549.5400000001,70886.40000000001,373985.38999999996,310071.96500000014,110741.85000000002,65323.799999999996,90096.18,15011.84
trading_costs,209.42598000000004,235.43445999999986,485.5495400000001,70.88640000000001,373.98538999999994,310.07196500000015,110.74185000000003,65.32379999999999,90.09617999999999,15.011840000000001
pnl_unrealized,83.974,173.849,1527.035,-134.596,729.487,160.592,98.75,-135.0,11.824,-66.56
2021-02-17 13:14:59.625679872,0 days 01:01:39.224631082,0 days 01:05:30.959665286,0 days 01:07:11.537252621,0 days 01:05:20.200467814,0 days 01:02:01.211767478,0 days 01:03:24.525657797,0 days 01:01:21.046017523,0 days 01:03:16.550933066,0 days 01:03:23.462510908,0 days 01:07:19.294873633
%-Time in the Market,1.0269683466859074,1.0913019756702267,1.1192240428275462,1.088315037503064,1.033072353704901,1.0562017218103052,1.021921651074382,1.0539878011406987,1.0559065739585887,1.1213776917727791
VWAP_Score,-387.764133889318,147.03809858012534,-262.1526514368344,370.78257602935537,5.666157009764227,-2153.047735072103,496.62930018109506,-934.1558174017786,14.799999999999272,115.92845195969119
pnl_realized,5.44,39.405,34.829,9.867,0.56,44.123,0.0,3.5,14.8,20.16
n_trades,11.0,59.0,56.0,6.0,2.0,41.0,2.0,5.0,9.0,8.0
n_take_prof,0,0,0,0,0,0,0,0,0,0
n_stopp_loss,0,0,0,0,0,0,0,0,0,0
dollar_volume_traded,65143.04,210784.79999999984,260270.34000000003,65417.850000000006,16559.01,210063.17,14994.0,40730.5,60230.08,35095.200000000004
trading_costs,65.14304,210.78479999999985,260.27034000000003,65.41785,16.559009999999997,210.06317,14.994,40.7305,60.23008,35.095200000000006
pnl_unrealized,-31.08,54.315,144.591,3.083,-14.94,188.331,-12.6,-34.5,0.0,-10.08
2021-02-02 12:14:59.857948807,0 days 01:02:30.658811482,0 days 01:06:23.369297048,0 days 01:07:16.552774745,0 days 01:06:16.922449901,0 days 01:02:20.775642263,0 days 01:05:20.657966339,0 days 01:02:26.725644762,0 days 01:05:51.046735412,0 days 01:03:33.621614694,0 days 01:07:27.714589271
%-Time in the Market,1.0782379084925955,1.1451374266446706,1.1604265917329013,1.1432840895821597,1.075396698922866,1.1271091981490635,1.077107203282902,1.135845349437106,1.09633843020369,1.1636353857486763
VWAP_Score,-94.26000000000386,-175.0944349967665,1175.7819329335223,-126.7186087660773,1176.6322702020739,1418.5701002180383,33.60000000000525,-65.80000000000894,86.9091867254572,-51.47999999999607
pnl_realized,-94.26,2.1,0.0,9.0,12.35,20.727,33.6,-65.8,0.0,-51.48
n_trades,20.0,8.0,1.0,6.0,14.0,40.0,12.0,7.0,10.0,7.0
n_take_prof,0,0,0,0,0,0,0,0,0,0
n_stopp_loss,0,0,0,0,0,0,0,0,0,0
dollar_volume_traded,121085.41999999998,40140.1,15004.08,40134.6,65152.27000000001,165042.94000000003,60639.600000000006,60677.4,15010.949999999999,59969.64
